Number,Date,Question,Answer,Hashtag,Countries,Link,0
422,02/02/2015,How do I get a copy of one or more of OFAC’s other sanctions lists (in addition to the Specially Designated Nationals list)?,"OFAC maintains other sanctions lists in addition to its Specially Designated Nationals (SDN) list. The names on these lists may also appear on the SDN list when such targets have a blocking provision associated with them. However, when the treatment of sanctions targets is unique and stops short of the blocking treatment, these names will appear on the one of OFAC's non-SDN lists. Links to the human-readable versions of these lists can be found here. Data versions of these lists are now being disseminated in a single, consolidated data file (known as the Consolidated Sanctions List). These data files can be found here.",Information on List File Formats and Downloads,,,
423,,,,,,,
424,,,,,,,
425,,,,,,,
426,,,,,,,
427,,,,,,,
428,,,,,,,
429,,,,,,,
430,,,,,,,
431,,,,,,,
432,,,,,,,
433,,,,,,,
434,,,,,,,
435,,,,,,,
436,,,,,,,
437,,,,,,,
438,,,,,,,
439,,,,,,,
440,,,,,,,
441,,,,,,,
442,,,,,,,
443,,,,,,,
444,,,,,,,
445,,,,,,,
446,,,,,,,
447,,,,,,,
448,,,,,,,
449,,,,,,,
450,,,,,,,
451,,,,,,,
452,,,,,,,
453,,,,,,,
454,,,,,,,
455,,,,,,,
456,09/21/2017,What does Executive Order (E.O.) 13722 do?,"E.O. 13722 blocks the Government of North Korea and the Workers’ Party of Korea; prohibits the exportation and reexportation of goods, services (including financial services), and technology to North Korea; and prohibits new investment in North Korea. E.O. 13722 also adds new designation criteria, some of which are mandatory criteria from the North Korea Sanctions and Policy Enhancement Act of 2016.",E.O. 13722,North Korea,,
457,02/01/2018,Does Executive Order (E.O.) 13722 take into account United Nations Security Council Resolution (UNSCR) 2270 and domestic legislation?,Yes. E.O. 13722 implements certain U.S. obligations under UNSCR 2270 and certain provisions of the North Korea Sanctions and Policy Enhancement Act of 2016. U.S. sanctions against North Korea are generally broader than UN sanctions.,E.O. 13722,North Korea,,
458,03/16/2016,Does the blocking of the Government of North Korea and the Workers’ Party of Korea impact the ability of U.S. persons to do business with or conduct transactions with entities in which either party has an interest?,"Yes. All property and interests in property of the Government of North Korea and the Workers’ Party of Korea are blocked. U.S. persons are generally prohibited from engaging in transactions with them without authorization from OFAC and must block property or interests in property that are in, or come within, the United States or the possession of a U.S. person.",,North Korea,,
459,03/01/2018,"What impact does the prohibition on the exportation or reexportation of goods, services, or technology under Executive Order (E.O.) 13722 have on the regulations of the Department of Commerce’s Bureau of Industry and Security (BIS)?","None. E.O. 13722 prohibits the exportation or reexportation, from the United States, or by a United States person, of any goods, services, or technology to North Korea. BIS maintains authority to license exports and reexports of goods and technology subject to the Export Administration Regulations to persons who are not Specially Designated National (SDNs) and involving the Government of North Korea and the Workers’ Party of Korea. In most instances, to export to designated individuals and entities, U.S. persons must obtain a license from both OFAC and BIS. Regulated financial entities processing a transaction in accordance with an OFAC or a BIS license are encouraged to request a copy of the license to ensure the transaction meets the terms, conditions, and criteria of the license.",E.O. 13722,North Korea,,
460,03/01/2018,Can U.S. persons do business with entities in North Korea?,"No. Unless authorized pursuant to a general or specific license from OFAC and/or BIS, Executive Order (E.O.) 13722 prohibits new investment in North Korea by a U.S. person and the exportation or reexportation, from the United States, or by a U.S. person, of any goods, services, or technology to North Korea. E.O. 13810 (“Imposing Additional Sanctions with Respect to North Korea”) does not modify any of those prohibitions.","E.O. 13722
E.O. 13810",North Korea,,
461,03/01/2018,Has OFAC issued general licenses for the North Korea program?,Yes. Several general licenses are incorporated into Subpart E of the North Korea Sanctions Regulations. See OFAC’s webpage on North Korea for any additional general licenses.,,North Korea,,
462,03/01/2018,Can U.S. persons continue to send money to family or friends in North Korea?,"Yes. Section 510.511 of the North Korea Sanctions Regulations authorizes U.S. depository institutions (including banks), U.S.-registered brokers or dealers in securities, and U.S.-registered money transmitters to process non-commercial, personal remittances to or from North Korea, or for or on behalf of an individual ordinarily resident in North Korea, up to a maximum of $5,000 per year. Such transactions do not require further authorization from OFAC. This general license does not authorize any transactions by, to, or through a financial institution blocked pursuant to the Weapons of Mass Destruction Proliferators Sanctions Regulations, 31 C.F.R. part 544, or the Global Terrorism Sanctions Regulations, 31 C.F.R. part 594, or any person whose property and interests in property are blocked pursuant to any part of 31 C.F.R. chapter V other than part 510.",Personal remittances,North Korea,,
463,03/01/2018,"Can nongovernmental organizations (NGOs) provide assistance to North Korea? If so, what types of assistance can NGOs provide? Can NGOs conduct transactions with the Government of North Korea?","Yes. Section 510.512(a) of the North Korea Sanctions Regulations authorizes NGOs to export or reexport services to North Korea that would otherwise be prohibited in support of the following activities: (1) activities to support humanitarian projects to meet basic human needs in North Korea, including drought, flood, and disaster relief; the distribution of food, medicine, and clothing intended to be used to relieve human suffering; the provision of shelter; the provision of clean water, sanitation, and hygiene assistance; the provision of health-related services; assistance for individuals with disabilities; and environmental programs; (2) activities to support democracy building in North Korea, including rule of law, citizen participation, government accountability, universal human rights and fundamental freedoms, access to information, and civil society development projects; (3) activities to support non-commercial development projects directly benefiting the North Korean people, including preventing infectious disease and promoting maternal/child health, sustainable agriculture, and clean water assistance; and (4) activities to support environmental protection, including the preservation and protection of threatened or endangered species and the remediation of pollution or other environmental damage. Additionally, section 510.512(c) authorizes U.S. depository institutions, U.S.-registered brokers or dealers in securities, and U.S.-registered money transmitters to process transfers of funds on behalf of U.S. or third-country NGOs, including to or from North Korea, in support of the activities identified above.

In most instances, to export or reexport goods, services, or technology to designated individuals and entities, U.S. persons must obtain a license from both OFAC and the Bureau of Industry and Security of the Department of Commerce (BIS). A license from BIS is required to export or reexport any item subject to the Export Administration Regulations (15 CFR parts 730 through 744) (EAR) to North Korea, except food and medicine classified as EAR99. Section 510.512(b) authorizes NGOs to export or reexport from a third country to North Korea food and medicine in support of the activities listed above, provided that the food and medicine are not subject to the EAR. The exportation or reexportation by a U.S. person to North Korea from a third country of items that are not subject to the EAR and that are not food or medicine requires a specific license from OFAC.

Section 510.512(d) authorizes NGOs to conduct limited transactions with the Government of North Korea that are necessary for the above-described activities, such as payment of reasonable and customary taxes and other fees. Partnerships and partnership agreements between NGOs and the Government of North Korea or other blocked persons that are necessary for NGOs to provide authorized services are not permitted without a specific license from OFAC.

*For guidance on specific questions with respect to charitable donations or NGOs, and the scope of section 510.512, please contact OFAC.",,North Korea,,
464,03/01/2018,Can I travel to North Korea?,"While OFAC sanctions do not prohibit U.S. persons from traveling to or from North Korea, as of September 1, 2017, U.S. passports are invalid for travel into, in, or through North Korea. However, in limited circumstances, applicants may be eligible for a Special Validation Passport from the State Department that will allow them to travel for specific purposes. See travel.state.gov for additional details. U.S. persons who intend to travel to North Korea via a Special Validation Passport do not require OFAC authorization to engage in activities that are exempt pursuant to 50 U.S.C. § 1702(b), such as travel to or from any country or the importation or exportation of informational materials. All other activities outside the scope of this exemption would require a specific license from OFAC, unless otherwise authorized by OFAC. See, for example, FAQ 558 for additional information regarding news reporting organizations and journalists.",Travel,North Korea,,
465,,,,,,,
466,,,,,,,
467,,,,,,,
468,04/21/2016,"How do I verify an OFAC document? For example, how do I know that an OFAC license or a Specially Designated Nationals (SDN) List removal letter is authentic?",,Basic Information on OFAC and Sanctions,,,
469,04/21/2016,Does OFAC issue certificates of non-inclusion to help prove that a name is not on one of OFAC s sanctions lists?,,Basic Information on OFAC and Sanctions,,,
470,,,,,,,
471,,,,,,,
472,,,,,,,
473,,,,,,,
474,,,,,,,
475,,,,,,,
476,,,,,,,
477,,,,,,,
478,,,,,,,
479,,,,,,,
480,,,,,,,
481,,,,,,,
482,,,,,,,
483,,,,,,,
484,,,,,,,
485,,,,,,,
486,,,,,,,
487,,,,,,,
488,,,,,,,
489,,,,,,,
490,,,,,,,
491,,,,,,,
492,,,,,,,
493,,,,,,,
494,,,,,,,
495,,,,,,,
496,,,,,,,
497,,,,,,,
498,,,,,,,
499,,,,,,,
500,04/12/2021,"I am an exporter of agricultural commodities, medicine, or medical devices to Sudan and have previously obtained specific licenses from OFAC for such exports. Do I still need to apply for a specific license from OFAC for exports or reexports of such items to Sudan?","No. As of December 14, 2020, no license from OFAC is required to export or reexport agricultural commodities, medicines, or medical devices to Sudan. ",General License,Sudan,,
501,,,,,,,
502,,,,,,,
503,,,,,,,
504,,,,,,,
505,,,,,,,
506,,,,,,,
507,,,,,,,
508,,,,,,,
509,,,,,,,
510,,,,,,,
511,,,,,,,
512,,,,,,,
513,,,,,,,
514,,,,,,,
515,,,,,,,
516,,,,,,,
517,,,,,,,
518,,,,,,,
519,,,,,,,
520,,,,,,,
521,,,,,,,
522,,,,,,,
523,,,,,,,
524,,,,,,,
525,,,,,,,
526,,,,,,,
527,,,,,,,
528,,,,,,,
529,,,,,,,
530,,,,,,,
531,,,,,,,
532,,,,,,,
533,10/30/2017,"What are the requirements of CAATSA section 105 related to the imposition of sanctions on the IRGC, and how are those requirements being implemented?","On August 2, 2017, the President signed into law the Countering America s Adversaries Through Sanctions Act (Public Law 115-44) (CAATSA), which, among other things, imposes new sanctions on Iran. Section 105 of CAATSA requires the imposition of sanctions applicable pursuant to the global terrorism Executive Order 13224 on Iran s Islamic Revolutionary Guard Corps (IRGC) and foreign persons that are officials, agents, or affiliates of the IRGC. Consistent with that requirement of CAATSA, OFAC designated the IRGC on October 13, 2017, pursuant to E.O. 13224 for providing support to the IRGC-Qods Force, which previously had been designated for its support to various terrorist groups. In addition, effective October 31, 2017, OFAC amended the Global Terrorism Sanctions Regulations, 31 C.F.R. part 594, to block the property and interests in property of foreign persons that have been identified by OFAC as officials, agents, or affiliates of the IRGC.",Countering America's Adversaries Through Sanctions Act (CAATSA),,,
534,10/30/2017,"Before October 13, 2017, wasn t the IRGC already subject to sanctions? What s different about applying terrorism-related sanctions to the IRGC and foreign persons that are officials, agents, or affiliates of the IRGC?","Before October 13, 2017, the IRGC was blocked under Executive Order 13382(relating to WMD proliferation), 13553 (relating to Iranian human rights abuses), and 13606 (relating to Iranian and Syrian human rights abuses via information technology), and persons who engaged in certain activity involving the IRGC were already subject to secondary sanctions. OFAC s October 13, 2017 action designating the IRGC under E.O. 13224 (relating to counterterrorism) and OFAC s October 31, 2017 action under the Global Terrorism Sanctions Regulations, 31 C.F.R. part 594 (GTSR), to block the property and interests in property of foreign persons that have been identified by OFAC as officials, agents, or affiliates of the IRGC carry additional consequences that limit certain activities with respect to the IRGC and foreign persons identified by OFAC as officials, agents, or affiliates of the IRGC. Certain exemptions available under the International Emergency Economic Powers Act (IEEPA) relating to personal communications, humanitarian donations, information or informational materials, and travel do not apply to transactions with persons designated under E.O. 13224 or otherwise blocked pursuant to the GTSR, which include the IRGC and foreign persons that have been identified by OFAC as officials, agents, or affiliates of the IRGC.",Countering America's Adversaries Through Sanctions Act (CAATSA),,,
535,,,,,,,
536,,,,,,,
537,,,,,,,
538,,,,,,,
539,,,,,,,
540,,,,,,,
541,,,,,,,
542,,,,,,,
543,,,,,,,
544,,,,,,,
545,,,,,,,
546,,,,,,,
547,,,,,,,
548,,,,,,,
549,,,,,,,
550,,,,,,,
551,,,,,,,
552,,,,,,,
553,,,,,,,
554,,,,,,,
555,,,,,,,
556,,,,,,,
557,,,,,,,
558,,,,,,,
559,,,,,,,
560,,,,,,,
561,,,,,,,
562,,,,,,,
563,,,,,,,
564,,,,,,,
565,,,,,,,
566,,,,,,,
567,,,,,,,
568,,,,,,,
569,,,,,,,
570,,,,,,,
571,,,,,,,
572,,,,,,,
573,,,,,,,
574,,,,,,,
575,,,,,,,
576,,,,,,,
577,,,,,,,
578,,,,,,,
579,,,,,,,
580,,,,,,,
581,,,,,,,
582,,,,,,,
583,,,,,,,
584,,,,,,,
585,,,,,,,
586,,,,,,,
587,,,,,,,
588,,,,,,,
589,,,,,,,
590,,,,,,,
591,,,,,,,
592,,,,,,,
593,,,,,,,
594,,,,,,,
595,,,,,,,
596,,,,,,,
597,,,,,,,
598,,,,,,,
599,,,,,,,
600,,,,,,,
601,,,,,,,
602,,,,,,,
603,,,,,,,
604,,,,,,,
605,,,,,,,
606,,,,,,,
607,,,,,,,
608,,,,,,,
609,,,,,,,
610,,,,,,,
611,,,,,,,
612,,,,,,,
613,,,,,,,
614,,,,,,,
615,,,,,,,
616,,,,,,,
617,,,,,,,
618,,,,,,,
619,,,,,,,
620,,,,,,,
621,,,,,,,
622,,,,,,,
623,,,,,,,
624,,,,,,,
625,,,,,,,
626,,,,,,,
627,,,,,,,
628,,,,,,,
629,,,,,,,
630,,,,,,,
631,,,,,,,
632,,,,,,,
633,,,,,,,
634,,,,,,,
635,,,,,,,
636,,,,,,,
637,,,,,,,
638,,,,,,,
639,,,,,,,
640,,,,,,,
641,,,,,,,
642,,,,,,,
643,,,,,,,
644,,,,,,,
645,,,,,,,
646,,,,,,,
647,,,,,,,
648,,,,,,,
649,,,,,,,
650,,,,,,,
651,,,,,,,
652,,,,,,,
653,,,,,,,
654,,,,,,,
655,,,,,,,
656,,,,,,,
657,,,,,,,
658,,,,,,,
659,,,,,,,
660,,,,,,,
661,,,,,,,
662,,,,,,,
663,,,,,,,
664,,,,,,,
665,,,,,,,
666,8/6/2019,What does E.O. 13871 do?,"E.O. 13871 authorizes sanctions with respect to the iron, steel, aluminum, and copper sectors of Iran.

Section 1 of E.O. 13871 authorizes blocking sanctions on any person determined by the Secretary of the Treasury, in consultation with the Secretary of State:
(i) to be operating in the iron, steel, aluminum, or copper sector of Iran, or to be a person that owns, controls, or operates an entity that is part of the iron, steel, aluminum, or copper sector of Iran;

(ii) to have knowingly engaged, on or after the effective date of the order, in a significant transaction for the sale, supply, or transfer to Iran of significant goods or services used in connection with the iron, steel, aluminum, or copper sectors of Iran;

(iii) to have knowingly engaged, on or after the effective date of the order, in a significant transaction for the purchase, acquisition, sale, transport, or marketing of iron, iron products, aluminum, aluminum products, steel, steel products, copper, or copper products from Iran;

(iv) to have materially assisted, sponsored, or provided financial, material, or technological support for, or goods or services in support of any person whose property and interests in property are blocked pursuant to section 1; or

(v) to be owned or controlled by, or to have acted or purported to act for or on behalf of, directly or indirectly, any person whose property and interests in property are blocked pursuant to section 1.

Section 2 of E.O. 13871 authorizes correspondent and payable-through account sanctions on foreign financial institutions (FFIs) determined to have knowingly conducted or facilitated any significant financial transaction:

(i) for the sale, supply, or transfer to Iran of significant goods or services used in connection with the iron, steel, aluminum, or copper sectors of Iran;

(ii) for the purchase, acquisition, sale, transport, or marketing of iron, iron products, aluminum, aluminum products, steel, steel products, copper, or copper products from Iran; or

(iii) for or on behalf of any person whose property and interests in property are blocked pursuant to the order.

Sections 3-13 of E.O. 13871 contain exceptions, definitions, and other implementing provisions related to the sanctions. ","Executive Order (E.O.) Imposing Sanctions with Respect to the Iron, Steel, Aluminum, and Copper Sectors of Iran of May 8, 2019",Iran,,
667,8/6/2019,When does E.O. 13871 become effective?,E.O. 13871 became effective upon signing. ,"Executive Order (E.O.) Imposing Sanctions with Respect to the Iron, Steel, Aluminum, and Copper Sectors of Iran of May 8, 2019",Iran,,
668,8/6/2019,Is there a wind-down period?,"Persons engaged in transactions that could be sanctioned under E.O. 13871 had a 90-day period after the issuance of E.O. 13871 to wind down those transactions without exposure to sanctions under E.O. 13871. Those persons were advised to take the necessary steps to wind down transactions by the end of the 90-day wind-down period to avoid exposure to sanctions, and that entering into new business that would be sanctionable under the E.O. on or after May 8, 2019 will not be considered wind-down activity and could be sanctioned even during the wind-down period. The wind-down period expires on August 6, 2019.","Executive Order (E.O.) Imposing Sanctions with Respect to the Iron, Steel, Aluminum, and Copper Sectors of Iran of May 8, 2019",Iran,,
669,8/6/2019,"Does E.O. 13871 expand upon existing sanctions relating to trade with Iran in certain raw and semi-finished metals, such as aluminum and steel?","Yes. E.O. 13871 expands upon existing sanctions under section 1245 of IFCA on the sale, supply, or transfer, directly or indirectly, to or from Iran of certain materials, including raw and semi-finished metals such as aluminum and steel, as described in subsections 1245(a)(l)(B) or (C) of IFCA.
 
In addition, E.O. 13871 explicitly targets the iron and copper sectors of Iran. ","Executive Order (E.O.) Imposing Sanctions with Respect to the Iron, Steel, Aluminum, and Copper Sectors of Iran of May 8, 2019",Iran,,
670,8/6/2019,Are there exceptions to the sanctions imposed under E.O.13871?,"Yes. The sanctions authorized under E.O. 13871 do not apply to transactions for the conduct of the official business of the United States Government or the United Nations (including its specialized agencies, programmes, funds, and related organizations) by employees, grantees, or contractors thereof. ","Executive Order (E.O.) Imposing Sanctions with Respect to the Iron, Steel, Aluminum, and Copper Sectors of Iran of May 8, 2019",Iran,,
671,8/6/2019,How are the terms significant transaction or transactions; significant financial services; significant financial transaction interpreted for purposes of correspondent or payable-through account sanctions set forth in section 2 of E.O. 13871?,"The interpretation of significant transaction or transactions; significant financial services; significant financial transaction, as described in the correspondent account sanctions in the IFSR, provides that the Department of the Treasury may consider the totality of the facts and circumstances and sets forth a list of broad factors that can play a role in the determination whether transactions, financial services, and financial transactions are significant, including:  (a) the size, number, and frequency of the transactions, financial services, or financial transactions; (b) the nature of the transactions, financial services, or financial transactions, including their type, complexity, and commercial purpose; (c) the level of awareness of management and whether the transactions are part of a pattern of conduct; (d) the nexus of the transactions, financial services, and financial transactions and blocked persons; (e) the impact of the transactions, financial services, and financial transactions on statutory objectives; (f) whether the transactions, financial services, and financial transactions involve deceptive practices; (g) whether the transactions solely involve the passive holdings of Central Bank of Iran (CBI) reserves or repayment by the CBI of official development assistance or the transfer of funds required as a condition of Iran s membership in an international financial institution; and (h) other relevant factors that the Secretary of the Treasury deems relevant. (31 C.F.R. § 561.404).","Executive Order (E.O.) Imposing Sanctions with Respect to the Iron, Steel, Aluminum, and Copper Sectors of Iran of May 8, 2019",Iran,,
672,,,,,,,
673,,,,,,,
674,,,,,,,
675,,,,,,,
676,,,,,,,
677,,,,,,,
678,,,,,,,
679,,,,,,,
680,,,,,,,
681,,,,,,,
682,8/6/2019,"What does the August 06, 2019 regulatory amendment related to E.O. 13871 do?","The regulatory amendment: (i) implements the correspondent or payable-through account sanctions set forth in section 2 of E.O. 13871 by incorporating those provisions in the Iranian Financial Sanctions Regulations, 31 C.F.R. part 561 (IFSR); (ii) renames the Iranian Human Rights Regulations, 31 C.F.R. part 562, as the Iranian Sector and Human Rights Abuses Sanctions Regulations (ISHR); and (iii) implements the blocking sanctions set forth in section 1 of E.O. 13871 by incorporating those provisions in the ISHR. ","Executive Order (E.O.) Imposing Sanctions with Respect to the Iron, Steel, Aluminum, and Copper Sectors of Iran of May 8, 2019",Iran,,
683,8/6/2019,How is the term significant transaction or transactions interpreted for purposes of blocking sanctions set forth in section 1 of E.O. 13871?,"The interpretation of significant transaction or transactions, as described in the ISHR provides that the Department of the Treasury may consider the totality of the facts and circumstances and sets forth a list of broad factors that can play a role in the determination whether transactions are significant, including: (a) the size, number, and frequency of the transactions; (b) the nature of the transactions, or the goods or services for sale, supply, or transfer, including their type, complexity, and commercial purpose; (c) the level of awareness of management and whether the transactions are part of a pattern of conduct; (d) the nexus of the person that engaged in the transactions and the prohibited activities in sections 1(a)(ii) and 1(a)(iii) of E.O. 13871; (e) the impact of the transactions on the objectives of E.O. 13871; (f) whether the transactions attempt to obscure or conceal the actual parties or true nature of the transactions, or evade sanctions; and (g) other relevant factors that the Secretary of the Treasury deems relevant. (31 C.F.R. § 562.407).","Executive Order (E.O.) Imposing Sanctions with Respect to the Iron, Steel, Aluminum, and Copper Sectors of Iran of May 8, 2019",Iran,,
684,8/6/2019,What is the definition of the iron sector of Iran ?,"The term iron sector of Iran means the mining, refining, processing, or manufacturing of iron or iron products in Iran. (31 C.F.R. § 561.336; 31 C.F.R. § 561.317).","Executive Order (E.O.) Imposing Sanctions with Respect to the Iron, Steel, Aluminum, and Copper Sectors of Iran of May 8, 2019",Iran,,
685,8/6/2019,What is the definition of the steel sector of Iran ?,"The term steel sector of Iran means the iron-ore smelting, ferrous-scrap melting, refining, processing, or manufacturing of steel or steel products in Iran. (31 C.F.R. § 561.337; 31 C.F.R. § 562.318).","Executive Order (E.O.) Imposing Sanctions with Respect to the Iron, Steel, Aluminum, and Copper Sectors of Iran of May 8, 2019",Iran,,
686,8/6/2019,"What are the definitions of iron, iron products, steel, and steel products ?","The terms iron, iron products, steel, and steel products mean any raw, semi-fabricated, fabricated, or finished form of iron, iron alloy, alloy steel, non-alloy steel, ferroalloys, pig iron, and spiegeleisen of all grades, sizes, and thicknesses, whether or not clad, plated, or coated, including in the following forms:  iron ores and concentrates, including roasted iron pyrites; pigs and blocks; ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps or pellets; granules and powders; ingots, blooms billets, slabs, and beam blanks; flat-rolled products (plates, sheets, strips, and foils) either cut-to-length or in coils; bars and rods; structural profiles (beams, channels, angles, and other shapes); sheet piling; railway or tramway track construction materials; tubes, pipes, and hollow profiles; tube or pipe fittings; reservoirs, tanks, vats, and similar containers; wire, stranded wire, ropes, cables, and plaited band; castings, stampings, and forgings; and ferrous waste and scrap, including slag.  (31 C.F.R. § 561.335; 31 C.F.R. § 562.316). ","Executive Order (E.O.) Imposing Sanctions with Respect to the Iron, Steel, Aluminum, and Copper Sectors of Iran of May 8, 2019",Iran,,
687,8/6/2019,What is the definition of the aluminum sector of Iran ?,"The term aluminum sector of Iran means the mining, refining, processing, or manufacturing of aluminum or aluminum products in Iran. (31 C.F.R. § 561.332; 31 C.F.R. § 562.313).","Executive Order (E.O.) Imposing Sanctions with Respect to the Iron, Steel, Aluminum, and Copper Sectors of Iran of May 8, 2019",Iran,,
688,8/6/2019,What are the definitions of aluminum and aluminum products ?,"The terms aluminum and aluminum products mean any raw, semi-fabricated, fabricated, or finished form of aluminum or aluminum alloy of all grades, sizes, and thicknesses, including in the following forms:  ores and concentrates (e.g., bauxite and alumina); unwrought aluminum including ingots, slabs, and billets; powders and flakes; wrought aluminum including bars, rods, profiles, plates, sheets, strip, foil, tubes, and pipes; tube or pipe fittings; reservoirs, tanks, vats, and similar containers; wire, stranded wire, ropes, cables, and plaited band; castings, stampings, and forgings; waste and scrap, including slag, and any aluminum and aluminum products produced from the melting or recycling of aluminum scrap.  (31 C.F.R. § 561.331; 31 C.F.R. § 562.312).","Executive Order (E.O.) Imposing Sanctions with Respect to the Iron, Steel, Aluminum, and Copper Sectors of Iran of May 8, 2019",Iran,,
689,8/6/2019,What is the definition of the copper sector of Iran ?,"The term copper sector of Iran means the mining, refining, processing, or manufacturing of copper or copper products in Iran.  (31 C.F.R. § 561.334; 31 C.F.R. § 562.314). ","Executive Order (E.O.) Imposing Sanctions with Respect to the Iron, Steel, Aluminum, and Copper Sectors of Iran of May 8, 2019",Iran,,
690,8/6/2019,What are the definitions of copper and copper products ?,"The terms copper and copper products mean any raw, semi-fabricated, fabricated, or finished form of copper or copper alloy of all grades, sizes, and thicknesses, including in the following forms:  ores and concentrates; copper mattes; cement copper (precipitated copper); refined, unrefined, wrought, or unwrought copper; billets; cathodes; bars, rods, profiles, plates, sheets, strips, foil, tubes, and pipes; tube and pipe fittings; powders and flakes; reservoirs, tanks, vats, and similar containers; wire, stranded wire, ropes, cables, and plaited band; castings, stampings, and forgings; and waste and scrap, including slag.  (31 C.F.R. § 561.333; 31 C.F.R. § 562.314). ","Executive Order (E.O.) Imposing Sanctions with Respect to the Iron, Steel, Aluminum, and Copper Sectors of Iran of May 8, 2019",Iran,,
691,9/5/2019,Will the provision of bunkering services to a non-Iranian vessel carrying sanctionable goods to or from Iran be subject to sanctions?,"If a non-Iranian vessel is transporting sanctionable goods to or from Iran (including, but not limited to, petroleum, petroleum products, or petrochemical products from Iran; goods used in connection with the automotive sector of Iran; or iron, iron products, aluminum, aluminum products, steel, steel products, copper, or copper products from Iran), bunkering of that non-Iranian vessel in a country other than Iran and related payments for these bunkering services risk being subject to sanctions unless an applicable waiver or exception applies. For example, persons providing bunkering services to a non-Iranian vessel transporting petroleum or petroleum products from Iran could be designated under subsection 1(a)(ii) of E.O. 13846 if such activities involve the provision of material support for, or goods or services to or in support of, NIOC or NICO. Persons that knowingly provide bunkering services to a non-Iranian vessel carrying only petroleum or petroleum products from Iran could likewise be sanctioned under section 3(a)(ii) of E.O. 13846 if that transaction is determined to be a significant transaction for the purchase, acquisition, sale, transport, or marketing of those items.","Iran Freedom and Counter-Proliferation Act (IFCA) 
Iranian Financial Sanctions Regulations (31 CFR part 561) (IFSR)
E.O. 13846",Iran,,
692,9/5/2019,Will the provision of bunkering services for an Iranian vessel be subject to sanctions?,"Section 1244(d)(1) of IFCA makes sanctionable knowingly selling, supplying, or transferring to or from Iran significant goods or services used in connection with Iran s energy, shipping, or shipbuilding sectors. (See FAQ 289 above for an interpretation of significant. ) The provision of bunkering services to a vessel flying the flag of the Islamic Republic of Iran, or owned, controlled, chartered, or operated directly or indirectly by, for, or on behalf of the Government of Iran (GOI) or an Iranian person, could be sanctionable under this authority, regardless of whether the transaction involves persons that have been determined to be part of Iran s energy, shipping, or shipbuilding sectors pursuant to Section 1244(c) of IFCA. Likewise, pursuant to section 1244(d)(2) of IFCA, a foreign financial institution could be exposed to sanctions if it knowingly conducts or facilitates a significant financial transaction for the sale, supply, or transfer to or from Iran of goods or services used in connection with Iran s energy, shipping, or shipbuilding sectors. Payments for the provision of bunkering services to a vessel flying the flag of the Islamic Republic of Iran or owned, controlled, chartered, or operated directly or indirectly by, for, or on behalf of the GOI or an Iranian person could be sanctionable under this authority, regardless of whether the transaction involves persons that have been determined to be part of Iran s energy, shipping, or shipbuilding sectors pursuant to Section 1244(c) of IFCA. (See FAQ 295).

In addition, non-U.S. persons that provide bunkering services for an Iranian vessel that has been identified as blocked property of an Iranian person on OFAC s List of Specially Designated Nationals and Blocked Persons or that make related payments for these bunkering services risk being designated themselves

However, the provision of bunkering services for an Iranian vessel transporting goods subject to an exception, such as agricultural commodities, food, medicine, or medical devices, to Iran, or subject to an applicable waiver and the making of related payments for these bunkering services will not be exposed to sanctions, unless the transactions involve persons on the SDN List that have been designated under E.O. 13224 or E.O. 13382 in connection with Iran s support for international terrorism or proliferation of weapons of mass destruction, including certain designated Iranian financial institutions or the Islamic Revolutionary Guard Corps (IRGC), as described in section 104(c)(2)(E) of CISADA, or activity that is subject to other sanctions authorities. ",Iran Freedom and Counter-Proliferation Act (IFCA) Iranian Financial Sanctions Regulations (31 CFR part 561) (IFSR),Iran,,
693,9/6/2019,"What did the September 9, 2019 amendment to the Cuban Assets Control Regulations (CACR) do?","Effective October 9, 2019 an amendment to the CACR revises certain authorizations for remittances to Cuba to impose new requirements and limitations, eliminates the authorization for donative remittances, and revises the authorization commonly known as the U-turn general license.

The September 9, 2019 amendment revises the U-turn general license located at 31 CFR § 515.584(d) to eliminate the authorization for banking institutions subject to U.S. jurisdiction to process U-turn transactions; i.e., funds transfers that originate and terminate outside the United States where neither the originator nor beneficiary is a person subject to U.S. jurisdiction. The amended U-turn general license authorizes banking institutions that are persons subject to U.S. jurisdiction to reject and not require them to block such transactions. For more on changes to the U-turn general license, please see FAQ 757.
With respect to remittances, the September 9, 2019 rule amends the general license authorizing family remittances to (1) place a cap of $1,000 as the maximum amount that one remitter can send to one Cuban national as a family remittance per quarter, and (2) exclude close relatives of prohibited officials of the Government of Cuba or close relatives of prohibited members of the Cuban Communist Party as authorized recipients of family remittances. (The prohibited officials themselves were already barred from being recipients of such remittances. See 31 CFR § 515.570(a), as well as 31 CFR § 515.339 for the definition of close relatives .) The September 9, 2019 rule also amends the general license authorizing remittances to certain individuals and independent non-governmental organizations in Cuba to now authorize remittances to certain additional self-employed individuals (See 31 CFR § 515.570(g), as well as 31 CFR § 515.340, for the new definition of self-employed individuals ). Effective October 9, 2019, OFAC eliminated the general license for donative remittances that was previously located at 31 CFR § 515.570(b). For more on changes to remittances, please see FAQ 732.",Cuba Sanctions,Cuba,,
694,,,,,,,
695,,,,,,,
696,,,,,,,
697,,,,,,,
698,,,,,,,
699,,,,,,,
700,,,,,,,
701,,,,,,,
